question,sentence,label
Where is the endotracheal tube tip placed?,ET tube terminates within 2 cm of carina with the neck in flexed position.,0
Is there evidence of hepatoma?,"Although no gross liver lesion is identified, please  consider alternative forms of abdominal imaging ( MRI, CT ) for additional  followup.",0
Is there any change in reticular interstitial opacification over time?,No change in lung volumes.,1
Do we see any neck mass obstructing the course of RLN?,There is no sign of mass lesion or mass effect along the course of the  left recurrent laryngeal nerve.,0
Is there any evidence of bleeding in the chest cavity?,Additionally there is no evidence of mediastinal hematoma.,0
Is there signs of bleeding?,"FINDINGS:  There is no acute intracranial hemorrhage, shift of normally  midline structures, hydrocephalus, major or minor vascular territorial  infarction.",0
Are there any bony fractures in the chest?,IMPRESSION:  No evidence of traumatic injury to the chest.,0
Are there any bony fractures in the chest?,No displaced rib fracture is identified.,0
Is there any new abnormalities after thoracentesis?,There is haziness of the  vasculature.,1
Is there anything on chest x ray which can explain the shortness of breath?,There are low lung volumes.,0
Is there evidence of stenotic disease?,There is a small right pleural effusion.,1
What is the position of right internal jugular central line?,A new  right IJ central line has been inserted and its tip is well positioned in the  mid SVC.,0
Was there any sign of pleural effusions?,"IMPRESSION:  PA and lateral chest compared to [**6-11**]:   Moderate volume bilateral pleural effusion, left greater than right, increased  slightly on the left and stable on the right compared to [**6-11**].",0
Is there signs of RUL opacity?,There is no pleural effusion.,1
Does the lung picture show any fluid between the alveolar spaces?,IMPRESSION:  No definite CHF.,0
Is there any sign of CAD?,"Compared to the study of [**2153-11-8**], there is no significant change.",1
Are there any bony fractures in the chest?,The cardiomediastinal silhouette is in stable  configuration.,1
Are there any focal or diffuse atherosclerotic plagues in the superior mesenteric artery?,"IMPRESSION:  Patent celiac and SMA, there is no ultrasound evidence of  stenosis.",0
Is the right IJ line positioned correctly?,2) New right IJ line and orogastric tube appear to be in good position.,0
Was the PICC line placement procedure easy?,The needle was then exchanged for an introducer  sheath.,1
Is there an obstruction in the chest?,There is no  pneumothorax.,1
What is the position of pacemaker ?,The patient is status post CABG.,1
Are the kidneys appearing normal on abdominal radiograph?,Note that the pelvis was not included on this film.,1
Did the hemorrhagic mass change in size?,"FINDINGS:  Compared to the prior days study, there is stable appearance of the  right parietal intraparenchymal hemorrhage with surrounding edema.",0
Is the new L IJ cath placed?,IMPRESSION:  ----- of the left IJ catheter in the superior vena cava.,0
Where does the NG tube appear to be?,NG tube catheter terminates below the  diaphragms.,0
Does the heart muscle show any abnormality?,IMPRESSION:   No radiographic evidence of acute cardiopulmonary process including CHF.,0
Was there any interval change?,"FINAL REPORT  INDICATION: PCP s/p extubation, evaluate for interval change.",1
Does the head CT show any bleeds ?,TECHNIQUE:  Non-contrast head CT.,1
Is there signs of RUL opacity?,Followup is recommended.,1
Does the lung shows signs of collapse in certain lobes?,IMPRESSION:  Improving aeration bilaterally.,0
Is the intracranial tissue compromised with bleeding?,There is no mass effect or  shift of the normally midline structures.,1
Are there any interstitial infiltrates?,In comparison to the prior study  there has been slight improvement in CHF.,0
Was there interval change in pneumonia?,IMPRESSION:  Pulmonary infiltrate more diffuse but less intense than before.,0
Is there evidence of acute process?,"There is mild subsegmental  atelectasis, most notably at the right lung base.",1
Was there any signs of CHF?,IMPRESSION:  1) Worsening CHF.,0
How does the right intra-cerebral bleed look like?,On gradient echo images there is a large area of  intraparenchymal hemorrhage within the right parietal lobe and left thalamus  which following administration of gadolinium reveals ring-enhancing lesions.,0
Do we see any pulmonary edema?,The lungs are clear.,0
Is there evidence of acute cardipulmonary process?,Left lower lobe opacities could be due to  atelectasis but superimposed infection cannot be totally excluded.,0
Was the vein mapping completed?,Partial thrombosis of the left cephalic vein in the region of the  antecubital fossa.,1
Did the thoracocentesis cause any pneumothorax on the left side?,IMPRESSION:  No evidence of pneumothorax.,0
Do we see any plaque in the carotid blood vessels?,The ICA to CCA ratio on the right is 1.0 and on the left 1.7.,0
Was there evidence of pneumonia?,CONCLUSION:  1) No evidence of pulmonary embolism.,1
How is the heart on chest x ray?,Mild congestive heart failure.,0
Did the hemorrhagic mass change in size?,"An additional 2mm hyperdense  focus, possibly hemorrhage, is noted in the posteromedial margin of the left  thalamus, with surroundng edema.",1
Do we see any inflammatory process in the lungs?,IMPRESSION:  Worsening PC pneumonia.,0
Are there any pulmonary infiltrates?,Assessment of the lungs reveals diffuse ground-glass opacities and numerous  smoothly thickened septal lines.,0
Is there any worsening in GI bleeding?,There is no consolidation or pleural effusion.,1
Is the central venous line in the location it was aimed at?,"The line shows a correct course, the tip of the line projects  over the mid SVC.",0
Is the Vagal nerve stimulator intact on the left side of chest?,No evidence of significant poststenotic dilatation of the  ascending aorta on the frontal view.,1
How are the veins in the upper extremities ?,Evaluation of the right cephalic vein and left basilic vein is described  in the report of [**2155-6-9**].,1
what is the current location of central line ?,FINDINGS:  A right-sided internal jugular vein catheter is seen with the tip  near the cavoatrial junction.,0
Is there any evidence of fracture?,There is no significant displacement of fracture fragment.,1
Was there any evidence of plaque?,No evidence of  significant stenoses on either side.,0
Was the NGT placed correctly?,NG tube catheter terminates below the  diaphragms.,0
How is the endotracheal tube placement?,"IMPRESSION: 1) ET tube tip in good position, 2 cm above the carina.",0
Did you find evidence of pneumothorax?,FINDINGS:  Single frontal view of the chest.,1
Where is the tip of nasogastric tube?,Nasogastric tube placement.,1
Does the lung appear to have fewer or smaller consolidations?,Slight improvement in bilateral lung opacities.,0
Is there any obstruction in superior mesenteric artery?,The aorta is normal in caliber.,1
Is the left internal jugular cathether tip in the superior vena cava?,"FINDINGS:  The ET tube, right internal jugular line, NG tube are in unchanged  positions.",1
Is there any hydronephrosis?,No  evidence of hydronephrosis.,0
Is there signs of bleeding?,No acute intracranial hemorrhage.,0
Are there any clots in the lung vasculature?,"There are no pathologically enlarged mediastinal, hilar or axilliary  lymph nodes.",1
Is there any hydronephrosis?,IMPRESSION:   1)  No evidence of hydronephrosis.,0
Was the PICC placed in the left arm?,IMPRESSION:  Successful placement of a 42 cm long PICC via the left brachial  vein with the tip terminating in the lower SVC.,0
Has bleeding stabilzed?,"FINDINGS:  Compared to the prior days study, there is stable appearance of the  right parietal intraparenchymal hemorrhage with surrounding edema.",0
Is there evidence of PE?,There is mild fatty infiltration of the liver.,1
Does the patient have any new fluid in pleural cavity?,"IMPRESSION:  PA and lateral chest compared to [**6-11**]:   Moderate volume bilateral pleural effusion, left greater than right, increased  slightly on the left and stable on the right compared to [**6-11**].",0
Are there any fractures in the fingers?,Evaluate for fracture.,1
Is the Et tube patent?,AP SUPINE CHEST X-RAY:  An endotracheal tube with its tip at the orifice of  the right main stem bronchus is noted.,1
Do we see any obliteration of costo-phrenic angle?,Small bilateral pleural effusions are seen.,0
Was the patient able to swallow the contents in a normal way?,"There is no oropharyngeal residue or aspiration with nectar, pudding or cookie  consistencies.",0
Does the retroperitoneum appear normal after EP study?,The spleen appears normal with marked calcification of  the splenic artery.,1
Does the lung show any diffuse opacities?,IMPRESSION:   No evidence of aspiration pneumonia seen on single AP chest view.,0
Does the brain show any abnormal masses with different architecture?,FINAL REPORT  EXAMINATION:  MRI of the brain with and without gadolinium.,1
Was there any sign of pneumonia?,"Again seen are diffuse interstitial and  alveolar infiltrates, essentially unchanged.",0
Is there any evidence of pneumonia?,"There are  bilateral hazy areas of ground-glass opacification, as well as more confluent  areas of consolidation at the lung bases.",0
How are the veins of the lower extremity?,Patent left greater saphenous and lesser saphenous veins.,0
Was there evidence of CHF?,CT CHEST WITH IV CONTRAST:  There is no evidence of pulmonary embolism.,1
What is the position of the left subclavian central line?,A new  left-sided subclavian central venous line is seen with tip in the mid superior  vena cava.,0
What is the position of right internal jugular central line?,The heart is not  significantly enlarged.,1
What is the Endotracheal tube position?,Balloon of the endotracheal tube is slightly expanded beyond  the diameters of the trachea.,1
Was there evidence of CHF?,There is mild fatty infiltration of the liver.,1
Is there any change over the interval in pneumonia?,The cardiomediastinal silhouette is unremarkable.,1
How are the interstitial spaces in the lungs ?,"An ET tube is present, in  satisfactory position above the carina.",1
Are there any signs of intraabdominal obstruction?,"The gallbladder, spleen, pancreas, adrenal glands, kidneys,  stomach and intra-abdominal loops of large and small bowel are unremarkable.",0
Is ETT in correct position?,"FINDINGS:  In comparison with study of [**3-8**], the endotracheal tube now lies  approximately 2.4 cm above the carina.",0
Is there any evidence of bleeding in the chest cavity?,There is colonic diverticulosis without evidence of diverticulitis.,1
Is there any abnormal fluid filled mass in the abdomen?,A small amount of free fluid in  the pelvis.,1
Is there any abnormal fluid filled mass in the abdomen?,"CT ABDOMEN W/CONTRAST:  There is extensive consolidation and  ground glass  opacity within both lungs, consistent with PCP.",1
Are there any clots in the lung vasculature?,The findings are consistent with pulmonary edema  pattern.,1
How does the brain look like on CT ?,FINDINGS:  There is no intracranial hemorrhage.,0
Does the head CT show any bleeds ?,______________________________________________________________________________                                  FINAL REPORT  STUDY:  CT OF THE HEAD WITHOUT CONTRAST.,1
Is there evidence of any new infiltrate in the lungs?,There is no pneumothorax.,1
How is the great saphenous vein on the right side?,The remainder of the greater saphenous vein was harvested.,1
How are the veins in the upper extremities ?,Patent proximal portion of the right basilic vein.,0
Is pneumothorax present?,No pneumothorax.,0
Where is the chest pain located?,"The pulmonary vasculature is normal,  and the lateral and posterior pleural sinuses are free.",1
Is there any change in reticular interstitial opacification over time?,These are unchanged in the interval.,0
Are there signs of pneumothorax?,External pacing pads are noted.,1
Was there evidence of DVT?,No intraluminal thrombus is identified.,0
"Do we see any fluid,blood or pus in the interstitial lung spaces?",UPRIGHT AP VIEW OF THE CHEST:  The lungs are clear without focal opacity.,0
How is the great saphenous vein on the right side?,The mid portion of the greater  saphenous vein was not visualized consistent with a history of harvesting.,0
Do the lungs show any more infiltrates post extubation?,IMPRESSION: Improvement in bilateral lung opacity from PCP.,0
Is the chest pain related to vagal nerve simulator?,"Apparently, this  represents the vagal nerve stimulator.",1
Are there any defects in the bone?,Multiple facial fractures are  present and described in full detail in sinus CT from the same date.,0
What is the location of leads on chest x ray?,IMPRESSION: Satisfactory placement of permanent pacemaker with atrial and  ventricular leads and no evidence of pneumothorax.,0
Are there any evidence of bony defects?,IMPRESSION:  No acute fracture or traumatic malalignment detected.,0
What is the Endotracheal tube position?,IMPRESSION:   Endotracheal tube in good position approximately 2 cm superior to the carina.,0
Does the pulmonary interstitial space look normal?,Pulmonary vascularity is  normal.,1
Is there any new abnormalities after thoracentesis?,IMPRESSION: Cardiomegaly with worsening CHF and bilateral pleural effusions  compared to [**2155-11-29**].,0
Are there any abnormalities on left chest wall?,"IMPRESSION:  Presence of vagal nerve stimulator, old healed rib fractures on  the left side but no other chest wall abnormalities in patient with chest wall  pain.",0
Did you find evidence of CHF?,IMPRESSION: Mild cardiomegaly with pulmonary vascular redistribution.,0
What does the chest x ray show?,IMPRESSION: Radiographic evidence of CHF.,0
Is the right IJ line positioned correctly?,There is now worsening ill-defined patchy pulmonary infiltrates in  the left lung and in the right lower lobe and possibly middle lobe.,1
Do we see any blood clots in the veins of right and left upper extremities?,The right basilic vein was visualized in its proximal extent at the level of  the antecubital fossa.,1
Is the PICC line placed in left arm?,"As no suitable superficial veins were identified, ultrasound  examination of the left upper extremity was performed, revealing the left  brachial vein to be patent and compressible.",0
Is there evidence of any new infiltrate in the lungs?,The nasogastric tube and  endotracheal tube are in satisfactory position.,1
Is there any new abnormalities after thoracentesis?,There is no evidence of a pneumothorax.,1
What is the position of right internal jugular central line?,Evaluate for right IJ central line position.,1
Where is the tip of nasogastric tube?,Scoliosis is noted.,1
Is there evidence of PE?,There is a small prevascular lymph node.,1
How is the flow of bile through the biliary tree?,Hepatopetal flow is noted within the main portal vein.,1
Is there signs of RUL opacity?,Ill-defined right upper lobe opacity is persistent projecting between the  second and third anterior right ribs.,0
Where is the distal tip of Right basilic PICC?,FINDINGS:  Position of indwelling devices is described above in the  preliminary report.,1
Is there evidence of stenotic disease?,The pancreas is  unremarkable.,1
Is there evidence of CHF?,Assess for CHF.,1
Is there any evidence of pulmonary edema?,The heart size is stably upper  limits of normal.,1
Is there any evidence of bleeding in the chest cavity?,There is no evidence of aortic dissection or aneurysm.,1
Is there any fluid in the lungs?,IMPRESSION:  Worsening PC pneumonia.,0
Are there any clots in the lung vasculature?,CT CHEST WITH IV CONTRAST:  There is no evidence of pulmonary embolism.,0
What is the size of hemorrhage ?,There is no shift of midline structures.,1
What is the location of leads on chest x ray?,The retrosternal clear  space is not well demonstrated due to suboptimal positioning of the patient's  arms.,1
Is the left subclavian central line in the desired position and location?,A left-sided PICC is also seen with tip  in the upper superior vena cava.,1
How does the pulmonary infiltrate look like?,IMPRESSION:  Questionable rounded opacity in the right upper lung.,0
Is there any increase in hematoma?,FINDINGS:  There is a stable appearance of a right frontal intraparenchymal  hematoma measuring approximately 5.6 x 3.0 cm.,0
Was there any change over the interval for PCP?,Slight improvement in bilateral lung opacities.,0
Are there any signs of inflammation in the lungs?,"No pulmonary,  vascular congestion or new parenchymal infiltrates can be identified.",0
Do we see any blood clots in the veins of right and left upper extremities?,Patent proximal portion of the right basilic vein.,1
Is the position of ET tube as expected?,ET tube tip at orifice of right mainstem bronchus.,1
Is there any worsening of pleural effusions?,Increasing bilateral pleural effusions.,0
Was there any evidence of effusion?,IMPRESSION:  Moderate left pleural effusion unchanged.,0
Are there any fractures in the fingers?,IMPRESSION:   Healing fracture of the distal aspect of the fourth middle phalanx.,0
Does the retroperitoneum appear normal after EP study?,IMPRESSION: 1) No evidence of retroperitoneal hematoma.,0
Has bleeding stabilzed?,"IMPRESSION:  Stable appearance of right parietal lobe and left thalamic  hemorrhages, which are concerning for hemorrhagic metastasis in this patient  with known metastatic lung carcinoma to the brain.",0
Was the vagal nerve stimulator cable present?,"CERVICAL SPINE, TWO VIEWS:   An electronic lead device is present, with four separate metallic electrodes  overlying the left transverse process of the T1 and T2 vertebral bodies, seen  on the lateral views as projecting over the soft tissues anterior to C7 and  T1.",0
Are there any new pulmonary infiltrates?,IMPRESSION:  Improving aeration bilaterally.,0
Is there evidence of infiltrate within the lungs?,Possible area of consolidation in the right upper lung.,1
Is the lung parenchyma clear?,"There is  persistent bilateral diffuse alveolar opacities, left worse than right.",0
Are there any signs of intraabdominal abscess?,2)  No evidence of intra-abdominal abscess.,0
What is the condition of GSV?,"Questionably, there was a small patent distal portion of the right greater  saphenous vein.",1
Is there anything on chest x ray which can explain the shortness of breath?,There is slight upper zone redistribution  of pulmonary flow but no overt pulmonary edema.,1
Is the PICC line placed in left arm?,The area was prepped and draped  in the usual sterile fashion.,1
Is the right IJ line positioned correctly?,The endotracheal  tube and left subclavian central line remain in satisfactory positions.,1
Is the swan placed correctly?,There is blunting of the costophrenic  angles.,1
Are there any more infiltrates ?,There is extensive  bilateral air space infiltration slightly more marked on the left side.,1
Are there any new pulmonary infiltrates?,There are diffuse  bilateral opacities which have improved compared to the prior study.,0
Where is the distal tip of Right basilic PICC?,WET READ: EAGg FRI [**2126-7-19**] 5:54 PM   Distal tip of right PICC in the upper to mid-SVC.,0
Is the position of ET tube as expected?,"Endotracheal tube too low,  with the tip at the orifice of the right main  stem bronchus; this should be partially withdrawn.",0
How are the pulmonary arteries and veins?,The findings are consistent with pulmonary edema  pattern.,1
Are there signs of pneumothorax?,IMPRESSION:  Post left pacemaker placement without pneumothorax.,0
Are there any signs of immobility of the GI tract?,"There is no oropharyngeal residue or aspiration with nectar, pudding or cookie  consistencies.",0
Is there any left over fluid in the plueral cavity?,There has been interval  reduction of left-sided pleural effusion.,0
Is there any fluid in the lungs?,There is worsening of the  diffuse bilateral fluffy infiltrates consistent with worsening PCP [**Name Initial (PRE) 8079**].,0
Is there any collection of air underneath the diaphragm?,"Mild atelectatic changes are seen at the  left base, though there is no evidence of acute pneumonia, vascular  congestion, or pleural effusion.",1
Did the amount of interstitial fluid go down?,PORTABLE CHEST:  Single AP view of the chest was available.,1
How is the great saphenous vein on the right side?,Right lesser saphenous vein was small but patent.,1
What is the size of frontal hematoma now?,The  ventricles are normal in size with minimal mass effect seen on the frontal  [**Doctor Last Name 383**] of the right lateral ventricle.,1
Have the lungs improved since the last time ?,These are not significantly changed.,0
How are the veins in the upper extremities ?,The right basilic vein was visualized in its proximal extent at the level of  the antecubital fossa.,0
Is there evidence of pulmonary edema?,IMPRESSION: Mild cardiomegaly with pulmonary vascular redistribution.,0
Was the vein mapping completed?,FINDINGS:  Grayscale ultrasound of the left greater saphenous and left lesser  saphenous veins demonstrated patency of these veins.,0
Are there signs of CHF?,Heart is top normal size.,0
Where is the tip of nasogastric tube?,Note is made of mild cardiomegaly.,1
Does the brain show any abnormal masses with different architecture?,TECHNIQUE:  Multiplanar T1 and T2-weighted images of the brain with gadolinium  according to standard departmental protocol.,1
Is there evidence of infiltrate within the lungs?,The patient is  status post CABG and there is left ventricular prominence.,1
Do we see any right upper lobe opacity on the lateral view of chest x ray?,Ill-defined right upper lobe opacity is persistent projecting between the  second and third anterior right ribs.,0
Is the ETT placed correctly?,"Endotracheal tube too low,  with the tip at the orifice of the right main  stem bronchus; this should be partially withdrawn.",0
Does the lungs show any signs of infection?,"There is mild subsegmental  atelectasis, most notably at the right lung base.",1
Do we see any inflammatory process in the lungs?,The cardiac and  mediastinal contours are unchanged in the interval.,1
Is there evidence of pneumonia?,Assess for possible aspiration pneumonia.,1
Is the position of ET tube as expected?,A nasogastric tube is positioned with  its side-hole in the mid esophagus and its tip in the mid esophagus.,1
Is there evidence of infiltrate within the lungs?,IMPRESSION:  No acute cardiopulmonary abnormality.,0
How is the heart size ?,The lungs are  otherwise clear.,1
Is the perc.cholecystomy tube intact?,The percutaneous cholecystostomy catheter ends in the gallbladder fundus.,0
what are the lobes with high density of infiltrates?,The rest of the lungs are unremarkable.,1
Do we see any mass in the liver?,No gross liver lesion is  identified on these limited views.,0
Does the endotracheal tube end above the carina?,"2) New NG tube, terminating within the fundus of the stomach.",1
Is the Vagal nerve stimulator intact on the left side of chest?,FINDINGS:  PA and lateral chest view demonstrates the presence of an  electronic capsule in left anterior chest wall position.,0
Are there any focal or diffuse atherosclerotic plagues in the superior mesenteric artery?,"The celiac and SMA are widely patent, Doppler  assessment shows normal spectral flow and velocities within normal limits.",0
Was the PICC placed in the left arm?,The PICC was then advanced over the wire through the sheath.,1
Was the cholecystomy tube placed correctly?,The percutaneous cholecystostomy catheter ends in the gallbladder fundus.,0
Is there any worsening of pleural effusions?,There is no pneumothorax.,1
Is there any thickening of left recurrent laryngeal nerve seen?,There is  slight asymmetry of the left vocal fold at the level of the true cords without  evidence of discrete mass.,1
Is there any evidence of bleeding in the chest cavity?,Incidental note is made of a splenule adjacent to the spleen.,1
How are the veins of the lower extremity?,Recommend repeating this study after removing the IV lines from the upper  extremities.,1
Is there any worsening of pleural effusions?,Bilateral pleural effusions appear slightly increased.,0
Was the PICC line placement procedure easy?,"As no suitable superficial veins were identified, ultrasound  examination of the left upper extremity was performed, revealing the left  brachial vein to be patent and compressible.",0
How is the heart size ?,IMPRESSION: Mild cardiomegaly with pulmonary vascular redistribution.,0
Does the brain show any abnormal masses with different architecture?,On gradient echo images there is a large area of  intraparenchymal hemorrhage within the right parietal lobe and left thalamus  which following administration of gadolinium reveals ring-enhancing lesions.,0
Are there any interval changes noted on the chest X ray? ,"CHEST X-RAY, PORTABLE AP   COMPARISONS: [**2184-2-19**].",1
Did you find a cause for SOB?,There are low lung volumes.,0
Is the swan placement satisfactory?,There is blunting of the costophrenic  angles.,1
How is the endotracheal tube placement?,"The new ET  tube tip is in satisfactory position, 2 cm above the carina.",0
Was there evidence of CHF?,"There  is diffuse bilateral septal thickening with regions of ground glass opacity  and passive atelectasis, predominantly at the bases.",0
Is there any air between the plueral tissues?,There is no pneumothorax.,0
What is the Endotracheal tube position?,AP upright portable chest x-ray:  There has been interval insertion of an  endotracheal tube which appears in good position approximately 2 cm superior  to the carina.,0
Was the PICC line placement procedure easy?,IMPRESSION:  Successful placement of a 42 cm long PICC via the left brachial  vein with the tip terminating in the lower SVC.,0
Are there any clots in the deep veins of the left upper extremity ?,FINAL REPORT  INDICATION:  Left upper extremity edema.,1
Is there injury to the chest wall?,"There is minimal linear density at the left  lung base, not sure whether representing an acute process or scarring.",1
Is there any obstruction in superior mesenteric artery?,FINDINGS:  The liver is normal in size and echogenicity without focal lesions.,1
Is the position of ET tube as expected?,Evaluate ET tube placement.,1
Does the colon appear to be having adhesions or obstructions?,"The gallbladder, spleen, pancreas, adrenal glands, kidneys,  stomach and intra-abdominal loops of large and small bowel are unremarkable.",0
Does the x ray still show diffuse perihilar reticular interstitial opacifications?,There is a bilateral pattern of hazy ground-glass opacities with reticulation.,0
Is the swan placement satisfactory?,The patient is s/p CABG.,1
How is the position of oro-gastric tube?,Compared to previous study of earlier the same date.,1
Did the pneumonia get worse?,The  overall appearances are unchanged since the prior examination.,0
Was there any evidence of effusion?,There is a minimal right pleural  effusion.,1
Does the lung shows signs of collapse in certain lobes?,There is no pneumothorax.,0
Is the right IJ line positioned correctly?,The heart is not  significantly enlarged.,1
Does the lung appear clear of interstitial fluids?,IMPRESSION:  1) Worsening CHF.,0
Is there obsturction of flow to the kidneys?,The left kidney measures 9.5 cm.,1
Does the endotracheal tube end above the carina?,"An ETT is in place, and terminates near the carina.",0
What is the position of right internal jugular central line?,An orogastric tube is noted with its tip  well positioned in the mid stomach.,1
Has the ground glasss opacity gone down on chest x ray?,"IMPRESSION:  1)  Diffuse bilateral air space opacities, not significantly changed compared  to prior study allowing for differences in technique.",0
Are there still infiltrates present?,IMPRESSION: Imporved pulmonary edema with remaining interstitial pattern due  to elevated pulmonary venous pressure.,0
Are thre any changes in the diffuse convalescent opacities in the lungs?,Slight improvement in bilateral lung opacities.,0
How is the heart on chest x ray?,There is calcification of the thoracic aorta.,1
Did the hemorrhagic mass change in size?,"IMPRESSION:  Stable appearance of right parietal lobe and left thalamic  hemorrhages, which are concerning for hemorrhagic metastasis in this patient  with known metastatic lung carcinoma to the brain.",0
How is the heart size ?,There is  mild cardiac enlargement with some prominence of the upper lung zone  pulmonary vessels.,0
Are there any signs of sub-dural or sub-arachnoid hemorrhage?,"FINDINGS:  No acute hemorrhage, mass lesion, shift of normally midline  structures, hydrocephalus or evidence of major territorial infarct is  apparent.",0
What do the kidneys look like?,IMPRESSION:   1)  No evidence of hydronephrosis.,0
What is the position of pacemaker ?,FINDINGS:  Dual lead pacemaker is unchanged in position.,1
is there evidence of fracture?,FINDINGS:  There is a healing fracture of the fourth middle phalanx.,0
Are there any focal or diffuse atherosclerotic plagues in the superior mesenteric artery?,"Both kidneys are normal in size, and echogenic without  hydronephrosis or stones.",1
Is there any evidence of enlarged colon?,Question enlarged colon.,1
What is the position of right internal jugular central line?,The endotracheal  tube and left subclavian central line remain in satisfactory positions.,1
How is the flow of bile through the biliary tree?,FINDINGS: The liver is normal in appearance.,1
Do we see any pulmonary edema?,IMPRESSION:   No radiographic evidence of acute cardiopulmonary process including CHF.,0
Do we see any fractures in the distal phalanges?,IMPRESSION:   Healing fracture of the distal aspect of the fourth middle phalanx.,0
Do we see any right upper lobe opacity on the lateral view of chest x ray?,"FINAL REPORT  PA AND LATERAL VIEWS OF THE CHEST   REASON FOR EXAM:  Fever and cough, question aspiration, evaluate right upper  lobe opacity.",1
Is there evidence of acute cardipulmonary process?,There is a  small left pleural effusion.,1
How are the interstitial spaces in the lungs ?,"Again seen are diffuse interstitial and  alveolar infiltrates, essentially unchanged.",0
Is the Vagal nerve stimulator intact on the left side of chest?,"Comparison with the next  previous chest examination of [**2100-12-15**], confirms the presence of these  calcifications.",1
Was the PICC line placement procedure easy?,The area was prepped and draped  in the usual sterile fashion.,1
Is there a cause for worsening in dyspnea?,IMPRESSION: Radiographic evidence of CHF.,0
Are there any defects in the bone?,Multiple facial fractures described in full detail on sinus CT from the  same date.,0
Was there any pneumothorax casued due to trauma while placing subclavian pacemaker?,There is no pleural effusion or  pneumothorax.,0
Is there any sign of cholestasis?,There  is no evidence of intra- or extrahepatic biliary dilatation with the common  bile duct measuring 6 mm in size.,0
Was there evidence of pneumothorax?,No evidence of pneumothorax or other complications.,0
Does the patient have a contained bleed in the head?,"An additional 2mm hyperdense  focus, possibly hemorrhage, is noted in the posteromedial margin of the left  thalamus, with surroundng edema.",1
Are there any abnormalities in the lungs?,"CHEST, SINGLE VIEW: The cardiac, mediastinal and hilar contours are  unremarkable.",1
Are there any bony defects on the spine?,The soft tissues are within  normal limits.,1
Is there any abnormality in the brain parenchyma?,IMPRESSION:  No evidence of acute intracranial injury.,0
How are the veins of the lower extremity?,FINDINGS:  Grayscale ultrasound of the left greater saphenous and left lesser  saphenous veins demonstrated patency of these veins.,0
Was the dobhoff tube placed correctly?,This  information was communicated with the treating team.,1
Do we see any trauma causing air in the periplueral space?,IMPRESSION:  No evidence of traumatic injury to the chest.,0
Are there any signs of intraabdominal abscess?,[**Name10 (NameIs) **] focal liver lesions are  identified.,0
Does the lung appear clear of interstitial fluids?,FINAL REPORT  AP portable radiograph of the chest dated [**2155-10-16**].,1
Do we see any new infiltrates on the chest x ray?,No new or progressive abnormalities are  identified to suggest a secondary site of infection.,0
Is there evidence of CHF?,IMPRESSION:   No radiographic evidence of acute cardiopulmonary process including CHF.,0
Are there any signs of intraabdominal abscess?,Evaluate for abscess.,1
Where is ETT placed?,"FINDINGS:  In comparison with study of [**3-8**], the endotracheal tube now lies  approximately 2.4 cm above the carina.",0
Is the left internal jugular cathether tip in the superior vena cava?,The left IJ central venous catheter has been advanced and the tip  is in the superior vena cava.,0
How is the great saphenous vein on the right side?,Ankle  brachial index on the left was 0.3.,1
Are the carotid blood vessels bloecked?,The ICA to CCA ratio on the right is 1.0 and on the left 1.7.,0
Is there evidence of pneumothorax?,There is cardiomegaly.,1
Is there any mediastinal shift due to pneumothorax?,No  pneumothorax.,0
Is there any evidence of bleeding?,"If there is a high clinical suspicion of neurological injury, an MRI is a more  sensitive study.",1
What does the lung picture look like?,Possible mild CHF but no overt  pulmonary edema and no evidence for pneumonia.,0
Is there any air between the plueral tissues?,No pneumothorax.,0
Are there any clots in the lung vasculature?,There is mild fatty infiltration of the liver.,1
How are the veins of the lower extremity?,"The remainder of the right cephalic vein was  patent and demonstrated diameters of 0.41, 0.2, 0.27, 0.21, and 0.2.",1
is there evidence of fracture?,Evaluate for fracture.,1
Are there any clots in the deep veins of the left upper extremity ?,No intraluminal thrombus is identified.,0
Is there evidence of any new infiltrate in the lungs?,The tip of a left IJ is in the left brachiocephalic vein.,1
Is there any abnormal fluid filled mass in the abdomen?,There is no evidence of appendicitis or  free intraperitoneal air.,1
Did the lead dislodge from the desired position?,FINDINGS:  Dual lead pacemaker is unchanged in position.,0
Is there signs of RUL opacity?,IMPRESSION:  Persistent right upper lobe opacity.,0
Is there evidence of PE?,CONCLUSION:  1) No evidence of pulmonary embolism.,0
Did you find evidence of CHF?,FINDINGS: There has been interval removal of the pulmonary artery catheter.,1
Do we see any trauma to the pluera due to Central venous line?,"FINAL REPORT  CHEST RADIOGRAPH:   INDICATION:  New central venous access line, trauma, evaluation for  pneumothorax.",1
Is there any evidence of enlarged colon?,There are apparent areas of mild bowel wall  thickening involving the transverse colon and hepatic flexure.,1
Is there evidence of CHF?,No  pneumothorax is present.,1
Is there any difference in the infiltrates?,IMPRESSION: Imporved pulmonary edema with remaining interstitial pattern due  to elevated pulmonary venous pressure.,0
What is the location of leads on chest x ray?,A permanent pacemaker is present with leads terminating in the right ventricle  and right atrium.,0
Was the PICC placed in the left arm?,"Based on the markers on the guidewire, the PICC was  trimmed to a length of 42 cm.",1
Was there evidence of CHF?,CONCLUSION:  1) No evidence of pulmonary embolism.,1
Was the ETT tube placed correctly?,NG tube is coiled in the fundus with distal tip directed cephalad.,1
Is there any medistinal shift and/or pneumothorax?,No pneumothorax.,0
